Nome_Jogo,Plataforma,Ano_de_Lancamento,Genero,Editora,NA_Vendas,EU_Vendas,JP_Vendas,Outras_Vendas,Vendas_Globais,Pontuacao_Critica,Contagem_Critica,Pontuacao_do_usuario,Contagem_de_usuarios,Desenvolvedor,Classificacao
Chrono Cross,PS,1999,Rpg,SquareSoft,0.62,0.42,0.69,0.12,1.86,94.0,16,8.1,297,SquareSoft,+14
Jak 3,PS2,2004,Plataforma,Sony Computer Entertainment,1.33,0.49,0.0,0.03,1.85,84.0,55,8.6,246,Naughty Dog,+14
Kingdom Hearts: Chain of Memories,GBA,2004,Rpg,Square Enix,1.26,0.18,0.35,0.06,1.85,76.0,37,7.9,84,Jupiter Corporation,Livre
Pinball,NES,1984,Acao,Nintendo,0.8,0.19,0.83,0.03,1.85,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Max Payne 3,PS3,2012,Tiro,Take-Two Interactive,0.59,0.89,0.06,0.3,1.85,87.0,31,7.8,790,Rockstar Studios,+17
Gran Turismo Concept 2001 Tokyo,PS2,2001,Corrida,Unknown,0.0,1.1,0.42,0.33,1.84,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
LEGO Marvel Super Heroes,PS3,2013,Acao,Warner Bros. Interactive Entertainment,0.77,0.76,0.01,0.29,1.84,82.0,22,7.9,76,TT Games,+10
Phineas and Ferb,DS,2009,Acao,Disney Interactive Studios,1.32,0.37,0.0,0.15,1.84,80.0,4,4.5,8,Altron,Livre
NCAA Football 06,PS2,2005,Esporte,Electronic Arts,1.53,0.05,0.0,0.25,1.84,87.0,25,8.5,36,EA Sports,Livre
"Hey You, Pikachu!",N64,1998,Simulação,Nintendo,0.83,0.06,0.93,0.0,1.83,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Rayman Raving Rabbids 2,Wii,2007,Diversos,Ubisoft,0.82,0.82,0.0,0.2,1.83,67.0,25,8.3,66,Ubisoft Montpellier,+10
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Diversos,THQ,1.31,0.49,0.0,0.03,1.83,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Jet Moto,PS,1996,Corrida,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Kirby: Triple Deluxe,3DS,2014,Plataforma,Nintendo,0.61,0.34,0.79,0.09,1.83,80.0,68,8.8,206,HAL Labs,Livre
Secret of Mana,SNES,1993,Rpg,SquareSoft,0.25,0.07,1.49,0.02,1.83,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
GoldenEye 007 (2010),Wii,2010,Acao,Activision,0.84,0.7,0.13,0.16,1.83,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Sonic Classic Collection,DS,2010,Plataforma,Sega,0.92,0.73,0.0,0.17,1.83,70.0,24,7.5,28,Creative Assembly,Livre
Air Combat,PS,1995,Simulação,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Diablo III,PS4,2014,Rpg,Activision,0.51,0.98,0.06,0.28,1.82,Nao_Inserido,0,Nao_Inserido,0,Blizzard Entertainment,+17
inFAMOUS 2,PS3,2011,Acao,Sony Computer Entertainment,1.05,0.47,0.08,0.22,1.82,83.0,90,8.4,932,Sucker Punch,+14
World of Warcraft: Mists of Pandaria,PC,2012,Rpg,Activision,0.84,0.76,0.0,0.22,1.82,82.0,42,4.8,1265,Blizzard Entertainment,+14
Sonic & Knuckles,GEN,1994,Plataforma,Sega,1.24,0.43,0.03,0.12,1.82,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Namco Museum,PS2,2001,Diversos,Namco Bandai Games,1.73,0.07,0.0,0.02,1.82,72.0,9,6.0,5,Mass Media,Livre
The Sims: Hot Date,PC,2001,Simulação,Electronic Arts,1.81,0.0,0.0,0.0,1.82,85.0,17,7.9,70,Maxis,+14
Demon's Souls,PS3,2009,Rpg,Namco Bandai Games,0.97,0.33,0.35,0.17,1.82,89.0,81,8.9,1441,From Software,+17
The Orange Box,X360,2007,Tiro,Electronic Arts,1.09,0.53,0.02,0.17,1.82,96.0,54,8.9,797,Valve Software,+17
DDRMAX2: Dance Dance Revolution,PS2,2003,Simulação,Konami Digital Entertainment,1.05,0.59,0.0,0.18,1.81,82.0,27,8.2,11,Konami,Livre
Crazy Taxi,DC,2000,Corrida,Sega,1.1,0.51,0.12,0.08,1.81,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Virtua Fighter 4,PS2,2002,Combate,Sega,0.78,0.44,0.56,0.04,1.81,94.0,36,8.0,84,Sega AM2,+14
Mafia III,PS4,2016,Acao,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81,68.0,66,5.1,1147,Hangar 13,+17
Sly 2: Band of Thieves,PS2,2004,Plataforma,Sony Computer Entertainment,0.88,0.69,0.0,0.23,1.81,88.0,64,9.0,178,Sucker Punch,Livre
Guitar Hero: World Tour,PS2,2008,Diversos,Activision,1.0,0.03,0.0,0.77,1.8,Nao_Inserido,0,8.0,13,BudCat,+14
Sonic Advance 2,GBA,2002,Plataforma,Sega,0.93,0.59,0.21,0.07,1.8,83.0,23,8.3,46,Dimps Corporation,Livre
Madden NFL 07,X360,2006,Esporte,Electronic Arts,1.66,0.0,0.01,0.13,1.8,80.0,54,6.0,148,EA Tiburon,Livre
NFL GameDay 2000,PS,1999,Esporte,989 Studios,1.0,0.68,0.0,0.12,1.8,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
NBA 2K11,PS3,2010,Acao,Take-Two Interactive,1.41,0.2,0.03,0.16,1.8,89.0,46,7.6,105,Visual Concepts,Livre
Forza Motorsport 6,XOne,2015,Corrida,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8,87.0,85,7.9,863,Turn 10,Livre
The Evil Within,PS4,2014,Acao,Bethesda Softworks,0.55,0.86,0.11,0.27,1.79,75.0,65,7.3,1223,Tango Gameworks,+17
Metroid Prime 3: Corruption,Wii,2007,Tiro,Nintendo,0.89,0.74,0.07,0.09,1.79,90.0,62,8.9,491,Retro Studios,+14
The Legend of Zelda: The Wind Waker,WiiU,2013,Acao,Nintendo,0.92,0.6,0.14,0.14,1.79,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Disney's The Lion King,SNES,1994,Plataforma,Virgin Interactive,1.26,0.39,0.08,0.06,1.79,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Professor Layton and the Mask of Miracle,3DS,2011,Quebra_cabeca,Nintendo,0.32,0.97,0.36,0.13,1.79,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Midnight Club II,PS2,2003,Corrida,Take-Two Interactive,1.25,0.29,0.0,0.24,1.78,85.0,41,8.5,47,Rockstar San Diego,+14
SpongeBob SquarePants: SuperSponge,PS,2001,Acao,THQ,1.12,0.58,0.0,0.08,1.78,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
The Getaway: Black Monday,PS2,2004,Acao,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78,57.0,53,7.6,47,SCEE London Studio,+17
50 Cent: Bulletproof,PS2,2005,Acao,Vivendi Games,0.85,0.76,0.0,0.16,1.77,47.0,21,6.6,129,Genuine Games,+17
Final Fantasy II,SNES,1991,Rpg,Square,0.24,0.09,1.33,0.12,1.77,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Kirby 64: The Crystal Shards,N64,2000,Plataforma,Nintendo,0.63,0.06,1.03,0.04,1.77,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Dead or Alive 3,XB,2001,Combate,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77,87.0,35,8.6,44,Team Ninja,+14
Dragon Quest Monsters: Joker,DS,2006,Rpg,Square Enix,0.23,0.02,1.49,0.02,1.76,75.0,30,7.4,27,TOSE,+10
LEGO Star Wars III: The Clone Wars,Wii,2011,Acao,LucasArts,1.01,0.6,0.0,0.15,1.76,76.0,7,7.7,10,Traveller's Tales,+10
High School Musical: Sing It!,Wii,2007,Diversos,Disney Interactive Studios,1.15,0.45,0.0,0.16,1.76,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Metroid II: Return of Samus,GB,1991,Aventura,Nintendo,0.85,0.31,0.56,0.04,1.76,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
WWF Attitude,PS,1998,Combate,Acclaim Entertainment,1.27,0.42,0.0,0.07,1.76,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
UFC 2009 Undisputed,PS3,2009,Combate,THQ,1.07,0.44,0.01,0.24,1.76,84.0,58,8.1,47,THQ,+14
The SpongeBob SquarePants Movie,PS2,2004,Plataforma,THQ,1.06,0.54,0.0,0.16,1.76,75.0,5,9.0,54,Heavy Iron Studios,Livre
Golden Sun,GBA,2001,Rpg,Nintendo,0.93,0.38,0.4,0.06,1.76,91.0,29,9.3,198,Camelot Software Planning,Livre
Sonic the Hedgehog 3,GEN,1994,Plataforma,Sega,1.02,0.47,0.2,0.07,1.76,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Kid Icarus,NES,1986,Plataforma,Nintendo,0.53,0.12,1.09,0.02,1.76,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Def Jam: Fight for NY,PS2,2004,Combate,Electronic Arts,0.86,0.67,0.0,0.22,1.76,83.0,46,8.9,73,Aki Corp.,+17
Tom Clancy's Ghost Recon,XB,2002,Tiro,Ubisoft,1.23,0.46,0.0,0.07,1.76,84.0,29,6.1,27,Red Storm Entertainment,+17
State of Emergency,PS2,2002,Acao,Take-Two Interactive,0.86,0.67,0.0,0.22,1.76,71.0,34,5.7,33,VIS Entertainment,+17
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Acao,THQ,1.26,0.47,0.0,0.03,1.76,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
The Urbz: Sims in the City,PS2,2004,Simulação,Electronic Arts,0.52,0.95,0.0,0.29,1.76,70.0,25,8.2,24,Maxis,+14
Star Wars: Starfighter,PS2,2001,Simulação,Activision,0.61,0.87,0.02,0.26,1.76,84.0,25,8.0,21,LucasArts,+14
Madden NFL 2000,PS,1998,Esporte,Electronic Arts,1.68,0.04,0.0,0.04,1.75,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Star Wars: Battlefront,XB,2004,Tiro,Activision,1.24,0.45,0.0,0.07,1.75,80.0,55,9.1,57,Pandemic Studios,+14
Pro Evolution Soccer,PS2,2001,Esporte,Konami Digital Entertainment,0.06,0.9,0.53,0.27,1.75,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Madden NFL 17,PS4,2016,Esporte,Electronic Arts,1.25,0.17,0.0,0.32,1.75,82.0,35,4.9,83,EA Sports,Livre
Just Cause 2,PS3,2010,Acao,Square Enix,0.45,0.92,0.06,0.32,1.75,83.0,66,8.0,291,Avalanche Studios,+17
Disney's Aladdin,SNES,1993,Plataforma,Capcom,0.94,0.34,0.21,0.27,1.75,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Kirby's Adventure,NES,1993,Plataforma,Nintendo,0.79,0.14,0.8,0.02,1.75,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Yoshi,NES,1991,Quebra_cabeca,Nintendo,0.7,0.13,0.91,0.01,1.75,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
The Elder Scrolls Online,PS4,2015,Rpg,Bethesda Softworks,0.67,0.79,0.0,0.29,1.75,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
FIFA Soccer 08,PS3,2007,Esporte,Electronic Arts,0.35,1.06,0.02,0.31,1.75,81.0,28,7.1,47,EA Canada,Livre
Crackdown,X360,2007,Tiro,Microsoft Game Studios,1.0,0.53,0.03,0.18,1.75,83.0,75,8.0,340,Realtime Worlds,+17
Wii Party U,WiiU,2013,Diversos,Nintendo,0.3,0.56,0.84,0.05,1.75,65.0,38,6.8,135,Nd Cube,Livre
Dance Dance Revolution X,PS2,2008,Simulação,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75,55.0,6,6.2,6,Konami,+10
2 Games in 1: Disney Princess & The Lion King,GBA,2004,Diversos,THQ,1.25,0.46,0.0,0.03,1.75,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Kingdom Hearts,PS3,2013,Rpg,Square Enix,0.9,0.35,0.25,0.24,1.74,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Star Wars Episode I: The Phantom Menace,PS,1999,Aventura,LucasArts,0.72,0.89,0.04,0.1,1.74,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Xenosaga Episode I: Der Wille zur Macht,PS2,2002,Rpg,Namco Bandai Games,0.63,0.49,0.45,0.17,1.74,83.0,35,8.7,99,Monolith Soft,+14
Watch Dogs,PS3,2014,Acao,Ubisoft,0.56,0.81,0.1,0.27,1.74,Nao_Inserido,0,5.1,383,Ubisoft Montreal,+17
Kinect Star Wars,X360,2012,Acao,Microsoft Game Studios,1.05,0.52,0.03,0.14,1.74,55.0,61,3.5,145,Terminal Reality,+14
Dragon's Dogma,PS3,2012,Rpg,Capcom,0.41,0.44,0.72,0.17,1.74,78.0,38,8.3,444,Capcom,+17
Cruis'n USA,N64,1996,Corrida,Nintendo,1.69,0.04,0.0,0.01,1.74,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Madden NFL 99,PS,1998,Esporte,Electronic Arts,1.66,0.04,0.0,0.04,1.74,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
The Order: 1886,PS4,2015,Tiro,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.74,63.0,94,6.6,3172,"Ready at Dawn, SCE Santa Monica",+17
SSX Tricky,PS2,2001,Esporte,Electronic Arts,0.85,0.66,0.0,0.22,1.73,92.0,33,8.9,71,EA Canada,Livre
Knack,PS4,2013,Plataforma,Sony Computer Entertainment Europe,0.43,0.68,0.42,0.2,1.73,54.0,83,6.5,1074,SCE Japan Studio,+10
Twisted Metal III,PS,1998,Acao,989 Studios,1.48,0.2,0.0,0.05,1.73,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Harry Potter and the Sorcerer's Stone,GB,2001,Acao,Electronic Arts,0.94,0.62,0.1,0.07,1.73,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Dragon Quest VI: Realms of Revelation,DS,2010,Rpg,Nintendo,0.2,0.14,1.35,0.03,1.73,78.0,41,8.1,31,ArtePiazza,+14
Crash Bandicoot: The Huge Adventure,GBA,2002,Plataforma,Universal Interactive,0.95,0.7,0.0,0.08,1.73,78.0,18,7.9,27,Vicarious Visions,Livre
Hitman: Absolution,X360,2012,Acao,Square Enix,0.68,0.88,0.01,0.17,1.73,79.0,51,7.1,453,Io Interactive,+17
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,Acao,Take-Two Interactive,0.85,0.66,0.0,0.22,1.72,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
The Crew,PS4,2014,Corrida,Ubisoft,0.35,1.08,0.03,0.26,1.72,61.0,60,5.4,575,"Ubisoft Reflections, Ivory Tower",+14
Call of Duty: World at War Final Fronts,PS2,2008,Tiro,Activision,0.61,0.18,0.0,0.94,1.72,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
NBA 2K15,XOne,2014,Esporte,Take-Two Interactive,1.37,0.18,0.0,0.18,1.72,82.0,9,6.3,101,Visual Concepts,Livre
Madden NFL 2005,XB,2004,Esporte,Electronic Arts,1.61,0.03,0.0,0.08,1.72,91.0,39,7.6,26,EA Tiburon,Livre
Star Ocean: Till The End of Time,PS2,2003,Rpg,Ubisoft,0.8,0.21,0.55,0.15,1.72,80.0,55,7.7,134,Tri-Ace,+14
Call of Duty: Modern Warfare 3,PC,2011,Tiro,Activision,0.41,0.98,0.0,0.32,1.72,78.0,26,2.5,5664,"Infinity Ward, Sledgehammer Games",+17
Dishonored,X360,2012,Acao,Bethesda Softworks,1.06,0.5,0.01,0.14,1.71,88.0,56,7.9,815,Arkane Studios,+17
Toy Story 2: Buzz Lightyear to the Rescue!,PS,1998,Plataforma,Activision,0.99,0.64,0.0,0.08,1.71,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
The Beatles: Rock Band,Wii,2009,Diversos,MTV Games,1.17,0.39,0.0,0.15,1.71,89.0,25,8.9,43,Harmonix Music Systems,+14
Ace Combat 5: The Unsung War,PS2,2004,Simulação,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84.0,57,9.1,81,Namco,+14
Need for Speed Underground,XB,2003,Corrida,Electronic Arts,1.09,0.55,0.0,0.07,1.71,83.0,25,8.7,35,Electronic Arts,Livre
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,Diversos,Nintendo,0.0,0.0,1.71,0.0,1.71,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Tetris Worlds,GBA,2001,Quebra_cabeca,THQ,1.25,0.39,0.0,0.06,1.71,65.0,10,Nao_Inserido,0,3d6 Games,Livre
Imagine: Teacher,DS,2008,Simulação,Ubisoft,0.7,0.82,0.0,0.19,1.71,Nao_Inserido,0,Nao_Inserido,0,Magic Pockets,Livre
Call of Duty: Black Ops 3,X360,2015,Tiro,Activision,1.14,0.4,0.0,0.16,1.71,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Deal or No Deal,DS,2007,Diversos,Mindscape,1.15,0.4,0.0,0.15,1.7,20.0,13,1.9,41,Artefacts Studio,Livre
FIFA Soccer 10,PS2,2009,Esporte,Electronic Arts,0.23,0.24,0.0,1.23,1.7,Nao_Inserido,0,8.4,9,EA Sports,Livre
Portal 2,PS3,2011,Tiro,Valve,0.83,0.6,0.02,0.24,1.7,95.0,54,8.4,937,Valve Software,+10
Super Puyo Puyo,SNES,1993,Quebra_cabeca,Banpresto,0.0,0.0,1.69,0.01,1.7,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
NCAA Football 07,PS2,2006,Esporte,Electronic Arts,1.41,0.05,0.0,0.23,1.7,87.0,18,8.6,23,EA Sports,Livre
The Sims 3: Late Night Expansion Pack,PC,2010,Simulação,Electronic Arts,0.59,0.87,0.0,0.23,1.7,74.0,17,5.3,77,The Sims Studio,+14
No Man's Sky,PS4,2016,Acao,Hello Games,0.63,0.76,0.03,0.27,1.7,71.0,94,4.5,5096,Hello Games,+14
Ben 10: Protector of Earth,DS,2007,Acao,D3Publisher,0.68,0.82,0.0,0.19,1.7,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Cabela's Big Game Hunter 2010,Wii,2009,Esporte,Activision Value,1.58,0.0,0.0,0.12,1.69,Nao_Inserido,0,7.8,4,Activision,+14
SOCOM 3: U.S. Navy SEALs,PS2,2005,Tiro,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.69,82.0,59,8.8,64,Zipper Interactive,+17
BioShock Infinite,PS3,2013,Tiro,Take-Two Interactive,0.72,0.65,0.04,0.28,1.69,94.0,27,8.5,1863,Irrational Games,+17
Jampack Winter '99,PS,1999,Diversos,Sony Computer Entertainment,0.94,0.64,0.0,0.11,1.69,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Call of Duty: Black Ops 3,PS3,2015,Tiro,Activision,0.49,0.87,0.07,0.26,1.69,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
WCW vs. nWo: World Tour,N64,1997,Combate,THQ,1.37,0.28,0.03,0.02,1.69,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
WCW/NWO Thunder,PS,1998,Combate,THQ,1.1,0.48,0.04,0.07,1.69,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Harry Potter and the Sorcerer's Stone,GBA,2001,Acao,Electronic Arts,0.87,0.66,0.08,0.08,1.69,64.0,8,7.1,7,Griptonite Games,Livre
Dragon Ball Z: The Legacy of Goku,GBA,2002,Rpg,Infogrames,1.52,0.12,0.0,0.05,1.69,53.0,15,6.9,28,Webfoot Technologies,Livre
Cooking Mama 3: Shop & Chop,DS,2009,Simulação,505 Games,0.79,0.65,0.08,0.17,1.69,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Resident Evil 4,GC,2005,Acao,Capcom,0.98,0.42,0.22,0.06,1.69,96.0,82,9.4,767,Capcom,+17
Personal Trainer: Math,DS,2007,Quebra_cabeca,Nintendo,0.48,1.12,0.0,0.08,1.69,63.0,11,Nao_Inserido,0,Jupiter Corporation,Livre
Game Party 3,Wii,2009,Quebra_cabeca,Warner Bros. Interactive Entertainment,1.4,0.16,0.0,0.12,1.68,37.0,4,Nao_Inserido,0,Farsight Studios,Livre
Need For Speed: Undercover,X360,2008,Corrida,Electronic Arts,0.79,0.7,0.01,0.18,1.68,64.0,62,5.9,104,EA Vancouver,+14
World Championship Poker: Featuring Howard Lederer - All In,PS2,2006,Diversos,Oxygen Interactive,0.82,0.64,0.0,0.22,1.68,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
NFL GameDay 98,PS,1997,Esporte,Sony Computer Entertainment,1.58,0.06,0.0,0.04,1.68,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Sonic Colors,Wii,2010,Plataforma,Sega,0.92,0.6,0.01,0.15,1.68,78.0,58,8.5,301,Sonic Team,Livre
Saints Row 2,PS3,2008,Acao,THQ,0.88,0.54,0.02,0.25,1.68,82.0,50,7.9,135,Volition Inc.,+17
Yoshi's Cookie,GB,1992,Quebra_cabeca,Nintendo,0.59,0.24,0.82,0.03,1.68,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Time Crisis,PS,1997,Tiro,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Sid Meier's Civilization V,PC,2010,Estratégia,Take-Two Interactive,0.98,0.52,0.0,0.17,1.68,90.0,70,7.9,2280,Firaxis Games,+10
Fire Emblem Fates,3DS,2015,Rpg,Nintendo,0.81,0.23,0.52,0.11,1.68,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
The Sims: Superstar,PC,2003,Simulação,Electronic Arts,1.67,0.0,0.0,0.0,1.68,79.0,20,8.2,25,Maxis,+14
Metroid Fusion,GBA,2002,Acao,Nintendo,1.18,0.27,0.17,0.06,1.68,92.0,44,9.1,200,Nintendo,Livre
We Ski,Wii,2008,Esporte,Namco Bandai Games,0.97,0.4,0.14,0.15,1.67,67.0,32,8.5,12,Bandai Namco Games,Livre
Star Wars Battlefront: Renegade Squadron,PSP,2007,Tiro,LucasArts,0.9,0.46,0.0,0.32,1.67,73.0,35,7.9,46,Rebellion,+14
SSX 3,PS2,2003,Esporte,Electronic Arts,0.93,0.52,0.0,0.22,1.67,93.0,41,9.1,125,EA Canada,Livre
Madden NFL 2001,PS,2000,Esporte,Electronic Arts,1.58,0.05,0.0,0.04,1.67,90.0,14,6.8,4,EA Sports,Livre
Star Wars: Battlefront II,XB,2005,Tiro,Activision,1.22,0.39,0.0,0.06,1.67,83.0,40,8.9,106,Pandemic Studios,+14
Disney's DuckTales,NES,1989,Plataforma,Capcom,0.91,0.3,0.42,0.04,1.67,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Tony Hawk's Pro Skater 3,PS,2001,Esporte,Activision,1.09,0.49,0.02,0.07,1.67,87.0,10,8.3,36,Shaba Games,Livre
"Monsters, Inc.",GBA,2001,Aventura,THQ,0.59,0.95,0.03,0.1,1.67,Nao_Inserido,0,Nao_Inserido,0,Artificial Mind and Movement,Livre
PGR: Project Gotham Racing 2,XB,2003,Corrida,Microsoft Game Studios,0.97,0.59,0.04,0.07,1.67,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Dragon Age: Origins,PS3,2009,Rpg,Electronic Arts,0.96,0.42,0.08,0.21,1.67,87.0,41,7.9,597,BioWare,+17
Spy Hunter,PS2,2001,Corrida,Midway Games,1.13,0.32,0.0,0.22,1.67,84.0,28,7.8,13,Paradigm Entertainment,+14
NCAA Football 2004,PS2,2003,Esporte,Electronic Arts,1.35,0.09,0.0,0.23,1.67,94.0,15,8.8,81,EA Sports,Livre
Fight Night Round 3,PS3,2006,Combate,Electronic Arts,0.81,0.58,0.01,0.26,1.67,83.0,37,7.9,24,EA Chicago,+14
StarCraft II: Heart of the Swarm,PC,2013,Estratégia,Activision,0.83,0.66,0.0,0.18,1.67,86.0,68,7.9,1346,Blizzard Entertainment,+14
SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2003,Plataforma,THQ,1.08,0.45,0.0,0.14,1.67,71.0,9,9.0,85,Heavy Iron Studios,Livre
Until Dawn,PS4,2015,Aventura,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,1.66,79.0,103,8.2,2161,SuperMassive Games,+17
Big Beach Sports,Wii,2008,Esporte,THQ,0.45,1.02,0.0,0.2,1.66,44.0,17,8.0,41,HB Studios Multimedia,Livre
Street Fighter II': Special Champion Edition,GEN,1992,Combate,Sega,1.0,0.3,0.31,0.04,1.66,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
SSX,PS2,2000,Esporte,Electronic Arts,0.78,0.61,0.06,0.2,1.66,93.0,35,8.3,33,EA Sports Big,Livre
Shaun White Snowboarding: Road Trip,Wii,2008,Esporte,Ubisoft,0.93,0.56,0.0,0.16,1.66,78.0,28,8.7,22,Ubisoft,+10
NBA Ballers,PS2,2004,Esporte,Midway Games,0.81,0.63,0.0,0.21,1.66,83.0,44,9.2,19,Midway,Livre
Saints Row IV,X360,2013,Acao,Deep Silver,1.01,0.5,0.01,0.13,1.66,81.0,42,6.5,325,Volition Inc.,+17
NBA Live 2003,PS2,2002,Esporte,Electronic Arts,1.25,0.15,0.03,0.22,1.66,83.0,22,8.3,28,EA Canada,Livre
LEGO Batman 2: DC Super Heroes,X360,2012,Acao,Warner Bros. Interactive Entertainment,0.9,0.61,0.0,0.15,1.66,79.0,59,7.2,114,TT Games,+10
Dragon Ball Z: Budokai Tenkaichi,PS2,2005,Combate,Atari,0.96,0.12,0.54,0.04,1.66,72.0,29,8.4,71,Spike,+14
Dark Souls III,PS4,2016,Rpg,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,89.0,69,8.8,1940,From Software,+17
Ms. Pac-Man,2600,1981,Quebra_cabeca,Atari,1.54,0.1,0.0,0.02,1.65,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Kirby's Return to Dreamland,Wii,2011,Plataforma,Nintendo,0.58,0.21,0.79,0.07,1.65,77.0,49,8.5,156,HAL Labs,+10
