Nome_Jogo,Plataforma,Ano_de_Lancamento,Genero,Editora,NA_Vendas,EU_Vendas,JP_Vendas,Outras_Vendas,Vendas_Globais,Pontuacao_Critica,Contagem_Critica,Pontuacao_do_usuario,Contagem_de_usuarios,Desenvolvedor,Classificacao,Faixa_Etaria,Sucesso_Comercial,Percentual_NA,Percentual_EU,Percentual_JP,Percentual_Outras,Ranking_Genero
The Sims 3: Late Night Expansion Pack,PC,2010,Simulação,Electronic Arts,0.59,0.87,0.0,0.23,1.7,74.0,17,5.3,77,The Sims Studio,+14,Restrito,Baixo,34.705882352941174,51.17647058823529,0.0,0.13529411764705884,46.0
No Man's Sky,PS4,2016,Acao,Hello Games,0.63,0.76,0.03,0.27,1.7,71.0,94,4.5,5096,Hello Games,+14,Restrito,Baixo,37.05882352941177,44.70588235294118,1.7647058823529411,0.15882352941176472,210.0
Ben 10: Protector of Earth,DS,2007,Acao,D3Publisher,0.68,0.82,0.0,0.19,1.7,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,40.0,48.23529411764706,0.0,0.11176470588235295,210.0
Cabela's Big Game Hunter 2010,Wii,2009,Esporte,Activision Value,1.58,0.0,0.0,0.12,1.69,68.99436302142053,0,7.8,4,Activision,+14,Restrito,Baixo,93.49112426035504,0.0,0.0,0.07100591715976332,144.0
SOCOM 3: U.S. Navy SEALs,PS2,2005,Tiro,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.69,82.0,59,8.8,64,Zipper Interactive,+17,Restrito,Baixo,72.18934911242604,20.118343195266274,2.366863905325444,0.0591715976331361,137.0
BioShock Infinite,PS3,2013,Tiro,Take-Two Interactive,0.72,0.65,0.04,0.28,1.69,94.0,27,8.5,1863,Irrational Games,+17,Restrito,Baixo,42.60355029585799,38.46153846153847,2.366863905325444,0.16568047337278108,137.0
Jampack Winter '99,PS,1999,Diversos,Sony Computer Entertainment,0.94,0.64,0.0,0.11,1.69,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,55.62130177514793,37.8698224852071,0.0,0.0650887573964497,94.0
Call of Duty: Black Ops 3,PS3,2015,Tiro,Activision,0.49,0.87,0.07,0.26,1.69,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,28.994082840236686,51.4792899408284,4.142011834319527,0.15384615384615385,137.0
WCW vs. nWo: World Tour,N64,1997,Combate,THQ,1.37,0.28,0.03,0.02,1.69,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,81.06508875739647,16.56804733727811,1.7751479289940828,0.01183431952662722,57.0
WCW/NWO Thunder,PS,1998,Combate,THQ,1.1,0.48,0.04,0.07,1.69,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,65.08875739644971,28.402366863905325,2.366863905325444,0.04142011834319527,57.0
Harry Potter and the Sorcerer's Stone,GBA,2001,Acao,Electronic Arts,0.87,0.66,0.08,0.08,1.69,64.0,8,7.1,7,Griptonite Games,Livre,Todos,Baixo,51.4792899408284,39.053254437869825,4.733727810650888,0.04733727810650888,212.0
Dragon Ball Z: The Legacy of Goku,GBA,2002,Rpg,Infogrames,1.52,0.12,0.0,0.05,1.69,53.0,15,6.9,28,Webfoot Technologies,Livre,Todos,Baixo,89.94082840236686,7.100591715976331,0.0,0.02958579881656805,118.0
Cooking Mama 3: Shop & Chop,DS,2009,Simulação,505 Games,0.79,0.65,0.08,0.17,1.69,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,46.74556213017752,38.46153846153847,4.733727810650888,0.10059171597633138,47.0
Resident Evil 4,GC,2005,Acao,Capcom,0.98,0.42,0.22,0.06,1.69,96.0,82,9.4,767,Capcom,+17,Restrito,Baixo,57.98816568047337,24.85207100591716,13.017751479289942,0.03550295857988166,212.0
Personal Trainer: Math,DS,2007,Quebra_cabeca,Nintendo,0.48,1.12,0.0,0.08,1.69,63.0,11,7.126329894144447,0,Jupiter Corporation,Livre,Todos,Baixo,28.402366863905325,66.27218934911244,0.0,0.04733727810650888,27.0
Game Party 3,Wii,2009,Quebra_cabeca,Warner Bros. Interactive Entertainment,1.4,0.16,0.0,0.12,1.68,37.0,4,7.126329894144447,0,Farsight Studios,Livre,Todos,Baixo,83.33333333333333,9.523809523809526,0.0,0.07142857142857142,28.0
Need For Speed: Undercover,X360,2008,Corrida,Electronic Arts,0.79,0.7,0.01,0.18,1.68,64.0,62,5.9,104,EA Vancouver,+14,Restrito,Baixo,47.023809523809526,41.666666666666664,0.5952380952380953,0.10714285714285714,82.0
World Championship Poker: Featuring Howard Lederer - All In,PS2,2006,Diversos,Oxygen Interactive,0.82,0.64,0.0,0.22,1.68,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,48.80952380952381,38.0952380952381,0.0,0.13095238095238096,95.0
NFL GameDay 98,PS,1997,Esporte,Sony Computer Entertainment,1.58,0.06,0.0,0.04,1.68,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,94.04761904761905,3.571428571428571,0.0,0.02380952380952381,145.0
Sonic Colors,Wii,2010,Plataforma,Sega,0.92,0.6,0.01,0.15,1.68,78.0,58,8.5,301,Sonic Team,Livre,Todos,Baixo,54.761904761904766,35.714285714285715,0.5952380952380953,0.08928571428571429,109.0
Saints Row 2,PS3,2008,Acao,THQ,0.88,0.54,0.02,0.25,1.68,82.0,50,7.9,135,Volition Inc.,+17,Restrito,Baixo,52.38095238095239,32.142857142857146,1.1904761904761907,0.1488095238095238,214.0
Yoshi's Cookie,GB,1992,Quebra_cabeca,Nintendo,0.59,0.24,0.82,0.03,1.68,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,35.11904761904761,14.285714285714285,48.80952380952381,0.017857142857142856,28.0
Time Crisis,PS,1997,Tiro,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,22.61904761904762,51.78571428571429,19.642857142857146,0.05952380952380953,140.0
Sid Meier's Civilization V,PC,2010,Estratégia,Take-Two Interactive,0.98,0.52,0.0,0.17,1.68,90.0,70,7.9,2280,Firaxis Games,+10,Restrito,Baixo,58.333333333333336,30.952380952380953,0.0,0.1011904761904762,13.0
Fire Emblem Fates,3DS,2015,Rpg,Nintendo,0.81,0.23,0.52,0.11,1.68,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,48.21428571428572,13.690476190476192,30.952380952380953,0.06547619047619048,119.0
The Sims: Superstar,PC,2003,Simulação,Electronic Arts,1.67,0.0,0.0,0.0,1.68,79.0,20,8.2,25,Maxis,+14,Restrito,Baixo,99.40476190476191,0.0,0.0,0.0,48.0
Metroid Fusion,GBA,2002,Acao,Nintendo,1.18,0.27,0.17,0.06,1.68,92.0,44,9.1,200,Nintendo,Livre,Todos,Baixo,70.23809523809523,16.071428571428573,10.11904761904762,0.03571428571428571,214.0
We Ski,Wii,2008,Esporte,Namco Bandai Games,0.97,0.4,0.14,0.15,1.67,67.0,32,8.5,12,Bandai Namco Games,Livre,Todos,Baixo,58.08383233532935,23.952095808383238,8.383233532934133,0.08982035928143713,146.0
Star Wars Battlefront: Renegade Squadron,PSP,2007,Tiro,LucasArts,0.9,0.46,0.0,0.32,1.67,73.0,35,7.9,46,Rebellion,+14,Restrito,Baixo,53.89221556886228,27.54491017964072,0.0,0.19161676646706588,141.0
SSX 3,PS2,2003,Esporte,Electronic Arts,0.93,0.52,0.0,0.22,1.67,93.0,41,9.1,125,EA Canada,Livre,Todos,Baixo,55.68862275449102,31.137724550898206,0.0,0.1317365269461078,146.0
Madden NFL 2001,PS,2000,Esporte,Electronic Arts,1.58,0.05,0.0,0.04,1.67,90.0,14,6.8,4,EA Sports,Livre,Todos,Baixo,94.61077844311379,2.9940119760479047,0.0,0.023952095808383235,146.0
Star Wars: Battlefront II,XB,2005,Tiro,Activision,1.22,0.39,0.0,0.06,1.67,83.0,40,8.9,106,Pandemic Studios,+14,Restrito,Baixo,73.05389221556887,23.353293413173652,0.0,0.03592814371257485,141.0
Disney's DuckTales,NES,1989,Plataforma,Capcom,0.91,0.3,0.42,0.04,1.67,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,54.491017964071865,17.964071856287426,25.149700598802394,0.023952095808383235,110.0
Tony Hawk's Pro Skater 3,PS,2001,Esporte,Activision,1.09,0.49,0.02,0.07,1.67,87.0,10,8.3,36,Shaba Games,Livre,Todos,Baixo,65.26946107784431,29.34131736526946,1.1976047904191618,0.04191616766467066,146.0
"Monsters, Inc.",GBA,2001,Aventura,THQ,0.59,0.95,0.03,0.1,1.67,68.99436302142053,0,7.126329894144447,0,Artificial Mind and Movement,Livre,Todos,Baixo,35.32934131736527,56.886227544910184,1.7964071856287425,0.05988023952095809,19.0
PGR: Project Gotham Racing 2,XB,2003,Corrida,Microsoft Game Studios,0.97,0.59,0.04,0.07,1.67,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,58.08383233532935,35.32934131736527,2.3952095808383236,0.04191616766467066,83.0
Dragon Age: Origins,PS3,2009,Rpg,Electronic Arts,0.96,0.42,0.08,0.21,1.67,87.0,41,7.9,597,BioWare,+17,Restrito,Baixo,57.48502994011976,25.149700598802394,4.790419161676647,0.12574850299401197,120.0
Spy Hunter,PS2,2001,Corrida,Midway Games,1.13,0.32,0.0,0.22,1.67,84.0,28,7.8,13,Paradigm Entertainment,+14,Restrito,Baixo,67.66467065868264,19.16167664670659,0.0,0.1317365269461078,83.0
NCAA Football 2004,PS2,2003,Esporte,Electronic Arts,1.35,0.09,0.0,0.23,1.67,94.0,15,8.8,81,EA Sports,Livre,Todos,Baixo,80.83832335329342,5.389221556886228,0.0,0.1377245508982036,146.0
Fight Night Round 3,PS3,2006,Combate,Electronic Arts,0.81,0.58,0.01,0.26,1.67,83.0,37,7.9,24,EA Chicago,+14,Restrito,Baixo,48.50299401197605,34.73053892215569,0.5988023952095809,0.15568862275449102,59.0
StarCraft II: Heart of the Swarm,PC,2013,Estratégia,Activision,0.83,0.66,0.0,0.18,1.67,86.0,68,7.9,1346,Blizzard Entertainment,+14,Restrito,Baixo,49.700598802395206,39.52095808383234,0.0,0.10778443113772455,14.0
SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2003,Plataforma,THQ,1.08,0.45,0.0,0.14,1.67,71.0,9,9.0,85,Heavy Iron Studios,Livre,Todos,Baixo,64.67065868263474,26.94610778443114,0.0,0.08383233532934133,110.0
Until Dawn,PS4,2015,Aventura,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,1.66,79.0,103,8.2,2161,SuperMassive Games,+17,Restrito,Baixo,27.108433734939762,54.216867469879524,3.0120481927710845,0.1566265060240964,20.0
Big Beach Sports,Wii,2008,Esporte,THQ,0.45,1.02,0.0,0.2,1.66,44.0,17,8.0,41,HB Studios Multimedia,Livre,Todos,Baixo,27.108433734939762,61.44578313253013,0.0,0.12048192771084339,151.0
Street Fighter II': Special Champion Edition,GEN,1992,Combate,Sega,1.0,0.3,0.31,0.04,1.66,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,60.24096385542169,18.072289156626507,18.674698795180724,0.024096385542168676,60.0
SSX,PS2,2000,Esporte,Electronic Arts,0.78,0.61,0.06,0.2,1.66,93.0,35,8.3,33,EA Sports Big,Livre,Todos,Baixo,46.98795180722892,36.74698795180723,3.614457831325301,0.12048192771084339,151.0
Shaun White Snowboarding: Road Trip,Wii,2008,Esporte,Ubisoft,0.93,0.56,0.0,0.16,1.66,78.0,28,8.7,22,Ubisoft,+10,Restrito,Baixo,56.02409638554218,33.734939759036145,0.0,0.0963855421686747,151.0
NBA Ballers,PS2,2004,Esporte,Midway Games,0.81,0.63,0.0,0.21,1.66,83.0,44,9.2,19,Midway,Livre,Todos,Baixo,48.79518072289157,37.95180722891566,0.0,0.12650602409638553,151.0
Saints Row IV,X360,2013,Acao,Deep Silver,1.01,0.5,0.01,0.13,1.66,81.0,42,6.5,325,Volition Inc.,+17,Restrito,Baixo,60.8433734939759,30.120481927710845,0.6024096385542169,0.0783132530120482,216.0
NBA Live 2003,PS2,2002,Esporte,Electronic Arts,1.25,0.15,0.03,0.22,1.66,83.0,22,8.3,28,EA Canada,Livre,Todos,Baixo,75.30120481927712,9.036144578313253,1.8072289156626504,0.13253012048192772,151.0
LEGO Batman 2: DC Super Heroes,X360,2012,Acao,Warner Bros. Interactive Entertainment,0.9,0.61,0.0,0.15,1.66,79.0,59,7.2,114,TT Games,+10,Restrito,Baixo,54.216867469879524,36.74698795180723,0.0,0.09036144578313253,216.0
Dragon Ball Z: Budokai Tenkaichi,PS2,2005,Combate,Atari,0.96,0.12,0.54,0.04,1.66,72.0,29,8.4,71,Spike,+14,Restrito,Baixo,57.831325301204814,7.228915662650602,32.53012048192772,0.024096385542168676,60.0
Dark Souls III,PS4,2016,Rpg,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,89.0,69,8.8,1940,From Software,+17,Restrito,Baixo,39.3939393939394,27.272727272727277,20.60606060606061,0.13333333333333333,121.0
Ms. Pac-Man,2600,1981,Quebra_cabeca,Atari,1.54,0.1,0.0,0.02,1.65,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,93.33333333333334,6.060606060606061,0.0,0.012121212121212123,30.0
Kirby's Return to Dreamland,Wii,2011,Plataforma,Nintendo,0.58,0.21,0.79,0.07,1.65,77.0,49,8.5,156,HAL Labs,+10,Restrito,Baixo,35.15151515151515,12.727272727272728,47.87878787878788,0.042424242424242434,112.0
Mario Party 6,GC,2004,Diversos,Nintendo,0.9,0.11,0.6,0.05,1.65,71.0,33,7.9,51,Hudson Soft,Livre,Todos,Baixo,54.545454545454554,6.666666666666667,36.36363636363637,0.030303030303030307,96.0
Super Scope 6,SNES,1991,Tiro,Nintendo,1.06,0.38,0.15,0.05,1.65,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,64.24242424242425,23.03030303030303,9.090909090909092,0.030303030303030307,143.0
Star Wars The Clone Wars: Lightsaber Duels,Wii,2008,Acao,LucasArts,1.21,0.3,0.0,0.14,1.65,56.0,24,6.7,18,Krome Studios,+14,Restrito,Baixo,73.33333333333334,18.181818181818183,0.0,0.08484848484848487,218.0
Need for Speed Carbon,X360,2006,Corrida,Electronic Arts,0.76,0.69,0.02,0.18,1.65,77.0,52,6.3,82,EA Canada,+10,Restrito,Baixo,46.06060606060606,41.81818181818181,1.2121212121212124,0.1090909090909091,85.0
Heavenly Sword,PS3,2007,Acao,Sony Computer Entertainment,0.57,0.72,0.06,0.29,1.65,79.0,64,8.3,544,Ninja Theory,+14,Restrito,Baixo,34.54545454545455,43.63636363636364,3.6363636363636362,0.17575757575757575,218.0
Dragon Quest V: Tenkuu no Hanayome,PS2,2004,Rpg,Enix Corporation,0.0,0.0,1.65,0.0,1.65,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,0.0,0.0,100.0,0.0,121.0
MySims,Wii,2007,Simulação,Electronic Arts,0.9,0.54,0.04,0.17,1.65,68.0,38,7.2,56,EA Redwood Shores,Livre,Todos,Baixo,54.545454545454554,32.727272727272734,2.4242424242424248,0.10303030303030304,49.0
Kirby & the Amazing Mirror,GBA,2004,Plataforma,Nintendo,0.8,0.05,0.76,0.03,1.64,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,48.78048780487806,3.0487804878048785,46.34146341463415,0.018292682926829267,113.0
Army of Two,X360,2008,Tiro,Electronic Arts,1.09,0.37,0.02,0.16,1.64,72.0,76,7.6,233,EA Montreal,+17,Restrito,Baixo,66.46341463414635,22.5609756097561,1.2195121951219512,0.0975609756097561,144.0
Dig Dug,2600,1982,Quebra_cabeca,Atari,1.52,0.1,0.0,0.02,1.64,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,92.6829268292683,6.097560975609757,0.0,0.012195121951219513,31.0
Tom Clancy's Rainbow Six,PS,1999,Tiro,Red Storm Entertainment,0.93,0.63,0.0,0.08,1.64,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,56.707317073170735,38.41463414634146,0.0,0.04878048780487805,144.0
Ghosts 'n Goblins,NES,1986,Acao,Capcom,0.74,0.26,0.61,0.03,1.64,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,45.1219512195122,15.853658536585366,37.19512195121951,0.018292682926829267,220.0
Tiger Woods PGA Tour 2003,PS2,2002,Esporte,Electronic Arts,0.8,0.63,0.0,0.21,1.64,88.0,18,8.9,18,EA Sports,Livre,Todos,Baixo,48.78048780487806,38.41463414634146,0.0,0.12804878048780488,156.0
NBA Live 06 (All region sales),PS2,2005,Esporte,Electronic Arts,1.44,0.15,0.0,0.05,1.64,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,87.8048780487805,9.146341463414634,0.0,0.030487804878048783,156.0
Prince of Persia: Warrior Within,PS2,2004,Acao,Ubisoft,0.54,0.88,0.0,0.22,1.64,83.0,51,8.5,120,Ubisoft Montreal,+17,Restrito,Baixo,32.926829268292686,53.65853658536586,0.0,0.13414634146341464,220.0
Far Cry 4,XOne,2014,Tiro,Ubisoft,0.8,0.69,0.01,0.14,1.63,82.0,15,7.5,383,Ubisoft Montreal,+17,Restrito,Baixo,49.079754601227,42.331288343558285,0.6134969325153374,0.08588957055214726,146.0
ESPN NFL 2K5,XB,2004,Esporte,Sega,1.54,0.02,0.0,0.07,1.63,92.0,42,9.1,93,Visual Concepts,Livre,Todos,Baixo,94.47852760736197,1.2269938650306749,0.0,0.04294478527607363,158.0
Beyond: Two Souls,PS3,2013,Aventura,Sony Computer Entertainment,0.52,0.8,0.06,0.26,1.63,70.0,98,8.1,2652,Quantic Dream,+17,Restrito,Baixo,31.90184049079755,49.079754601227,3.6809815950920246,0.15950920245398775,21.0
Pikmin,GC,2001,Estratégia,Nintendo,0.78,0.25,0.56,0.04,1.63,89.0,39,8.7,121,Nintendo,Livre,Todos,Baixo,47.85276073619632,15.337423312883436,34.3558282208589,0.024539877300613498,15.0
Tiger Woods PGA Tour 2004,PS2,2003,Esporte,Electronic Arts,1.18,0.34,0.0,0.1,1.63,89.0,23,8.8,40,EA Sports,Livre,Todos,Baixo,72.39263803680981,20.858895705521473,0.0,0.06134969325153375,158.0
NBA 2K15,X360,2014,Esporte,Take-Two Interactive,1.35,0.11,0.0,0.17,1.63,68.99436302142053,0,3.0,40,Visual Concepts,Livre,Todos,Baixo,82.82208588957056,6.748466257668712,0.0,0.10429447852760737,158.0
Ape Escape,PS,1999,Plataforma,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,90.0,19,8.8,53,SCEI,Livre,Todos,Baixo,43.558282208588956,29.447852760736197,19.631901840490798,0.06748466257668712,114.0
NCAA Football 2005,PS2,2004,Esporte,Electronic Arts,1.32,0.09,0.0,0.22,1.62,88.0,29,8.8,35,EA Tiburon,Livre,Todos,Baixo,81.48148148148148,5.555555555555555,0.0,0.13580246913580246,161.0
Max Payne 3,X360,2012,Tiro,Take-Two Interactive,0.86,0.62,0.01,0.13,1.62,86.0,80,7.8,869,Rockstar Studios,+17,Restrito,Baixo,53.08641975308641,38.2716049382716,0.6172839506172839,0.08024691358024691,147.0
Viva Pinata,X360,2006,Simulação,Microsoft Game Studios,0.45,0.95,0.02,0.2,1.62,84.0,65,8.0,131,Rare Ltd.,Livre,Todos,Baixo,27.77777777777778,58.64197530864197,1.2345679012345678,0.12345679012345678,50.0
Tony Hawk's American Wasteland (Old all region sales),PS2,2005,Esporte,Activision,0.8,0.63,0.01,0.19,1.62,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,49.382716049382715,38.888888888888886,0.6172839506172839,0.11728395061728394,161.0
Kinectimals,X360,2010,Simulação,Microsoft Game Studios,1.02,0.46,0.0,0.13,1.62,74.0,50,3.1,69,Frontier Developments,Livre,Todos,Baixo,62.96296296296296,28.39506172839506,0.0,0.08024691358024691,50.0
Kirby Air Ride,GC,2003,Corrida,Nintendo,1.01,0.11,0.45,0.04,1.62,61.0,28,7.9,69,HAL Labs,Livre,Todos,Baixo,62.34567901234568,6.790123456790123,27.77777777777778,0.024691358024691357,86.0
LEGO Marvel Super Heroes,PS4,2013,Acao,Warner Bros. Interactive Entertainment,0.59,0.76,0.01,0.26,1.62,83.0,22,7.7,262,TT Games,+10,Restrito,Baixo,36.419753086419746,46.913580246913575,0.6172839506172839,0.16049382716049382,222.0
Sled Storm,PS,1998,Corrida,Electronic Arts,0.9,0.61,0.0,0.11,1.62,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,55.55555555555556,37.654320987654316,0.0,0.06790123456790123,86.0
Destiny,PS3,2014,Tiro,Activision,0.68,0.56,0.12,0.25,1.62,68.99436302142053,0,4.5,445,Bungie,+14,Restrito,Baixo,41.9753086419753,34.567901234567906,7.4074074074074066,0.15432098765432098,147.0
Dragon Quest IV: Chapters of the Chosen,DS,2007,Rpg,Square Enix,0.3,0.02,1.27,0.03,1.62,80.0,44,7.9,50,ArtePiazza,+10,Restrito,Baixo,18.51851851851852,1.2345679012345678,78.39506172839505,0.018518518518518517,123.0
NFL Street 2,PS2,2004,Esporte,Electronic Arts,0.79,0.62,0.0,0.21,1.61,77.0,33,8.7,20,EA Tiburon,Livre,Todos,Baixo,49.06832298136646,38.50931677018633,0.0,0.13043478260869565,163.0
Baseball,GB,1989,Esporte,Nintendo,0.66,0.27,0.65,0.03,1.61,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,40.993788819875775,16.77018633540373,40.37267080745342,0.018633540372670804,163.0
Yu-Gi-Oh! Duel Monsters,GB,1998,Estratégia,Konami Digital Entertainment,0.0,0.0,1.61,0.01,1.61,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,0.0,0.0,100.0,0.006211180124223602,16.0
Super Mario Strikers,GC,2005,Esporte,Nintendo,0.98,0.38,0.2,0.04,1.61,76.0,39,8.7,55,Next Level Games,Livre,Todos,Baixo,60.8695652173913,23.60248447204969,12.422360248447205,0.024844720496894408,163.0
Buzz! The Music Quiz,PS2,2005,Diversos,Sony Computer Entertainment,0.0,1.18,0.0,0.43,1.61,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,0.0,73.2919254658385,0.0,0.2670807453416149,97.0
Rage,X360,2011,Tiro,Bethesda Softworks,0.82,0.6,0.03,0.15,1.6,81.0,77,6.7,559,id Software,+17,Restrito,Baixo,51.24999999999999,37.49999999999999,1.875,0.09374999999999999,149.0
Mario Hoops 3 on 3,DS,2006,Esporte,Nintendo,0.98,0.04,0.49,0.09,1.6,69.0,40,8.0,37,Square Enix,Livre,Todos,Baixo,61.24999999999999,2.5,30.624999999999996,0.056249999999999994,166.0
SpongeBob's Atlantis SquarePantis,DS,2007,Acao,THQ,1.49,0.0,0.0,0.11,1.6,64.0,5,7.126329894144447,0,THQ,Livre,Todos,Baixo,93.12499999999999,0.0,0.0,0.06874999999999999,223.0
Dollar Dash,PS2,2005,Acao,Take-Two Interactive,1.3,0.23,0.0,0.07,1.6,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,81.25,14.374999999999998,0.0,0.043750000000000004,223.0
F-1 World Grand Prix,N64,1998,Corrida,Video System,0.46,0.96,0.09,0.08,1.6,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,28.749999999999996,60.0,5.624999999999999,0.049999999999999996,88.0
River Raid,2600,1981,Tiro,Activision,1.49,0.09,0.0,0.02,1.6,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,93.12499999999999,5.624999999999999,0.0,0.012499999999999999,149.0
Just Cause 2,X360,2010,Acao,Square Enix,0.59,0.83,0.02,0.17,1.6,81.0,74,8.0,267,Avalanche Studios,+17,Restrito,Baixo,36.875,51.87499999999999,1.25,0.10625,223.0
Silent Hill,PS,1999,Acao,Konami Digital Entertainment,0.71,0.48,0.3,0.1,1.6,86.0,17,9.2,326,KCET,+17,Restrito,Baixo,44.375,30.0,18.749999999999996,0.0625,223.0
Sonic Heroes,GC,2003,Plataforma,Sega,1.05,0.44,0.06,0.04,1.6,72.0,49,7.8,125,Sonic Team,Livre,Todos,Baixo,65.625,27.499999999999996,3.75,0.024999999999999998,115.0
Disney Infinity,Wii,2013,Acao,Disney Interactive Studios,1.05,0.41,0.0,0.14,1.6,68.99436302142053,0,4.2,24,Avalanche Software,+10,Restrito,Baixo,65.625,25.624999999999996,0.0,0.08750000000000001,223.0
ESPN NBA 2K5,PS2,2004,Esporte,Global Star,1.26,0.12,0.0,0.21,1.59,83.0,24,7.5,36,Visual Concepts,Livre,Todos,Baixo,79.24528301886792,7.547169811320755,0.0,0.1320754716981132,167.0
Diablo,PC,1996,Rpg,Activision,0.01,1.58,0.0,0.0,1.59,94.0,12,8.7,850,Blizzard Entertainment,+17,Restrito,Baixo,0.6289308176100629,99.37106918238993,0.0,0.0,124.0
Far Cry 2,X360,2008,Acao,Ubisoft,0.71,0.69,0.02,0.18,1.59,85.0,75,6.7,288,Ubisoft Montreal,+17,Restrito,Baixo,44.65408805031446,43.39622641509433,1.2578616352201257,0.11320754716981131,228.0
The Legend of Zelda: Twilight Princess,GC,2006,Acao,Nintendo,1.15,0.36,0.04,0.04,1.59,96.0,16,9.2,568,Nintendo,+14,Restrito,Baixo,72.32704402515722,22.641509433962263,2.5157232704402515,0.025157232704402514,228.0
Soul Edge,PS,1996,Combate,Sony Computer Entertainment,0.61,0.41,0.46,0.1,1.59,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,38.36477987421383,25.78616352201258,28.930817610062892,0.06289308176100629,62.0
Mario Bros.,2600,1982,Plataforma,Atari,1.48,0.09,0.0,0.02,1.59,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,93.0817610062893,5.660377358490566,0.0,0.012578616352201257,116.0
Pro Evolution Soccer 2008,PS3,2007,Esporte,Konami Digital Entertainment,0.04,1.1,0.32,0.13,1.59,74.0,19,6.1,47,Konami,Livre,Todos,Baixo,2.5157232704402515,69.18238993710692,20.12578616352201,0.08176100628930817,167.0
NASCAR 2000,PS,1999,Corrida,Electronic Arts,0.88,0.6,0.0,0.1,1.59,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,55.34591194968554,37.73584905660377,0.0,0.06289308176100629,89.0
Pokemon Battle Revolution,Wii,2006,Rpg,Nintendo,0.78,0.37,0.3,0.13,1.58,53.0,34,6.7,106,Genius Sonority Inc.,Livre,Todos,Baixo,49.36708860759494,23.417721518987342,18.987341772151897,0.08227848101265822,125.0
Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Acao,Square Enix,0.88,0.26,0.34,0.1,1.58,75.0,54,8.2,267,Square Enix,+10,Restrito,Baixo,55.69620253164557,16.455696202531644,21.518987341772153,0.06329113924050633,230.0
